Company, Symbol, Current Value, Current Change, Open, Previous Close, Day's Range, 52 Week Range, P/E Ratio, Volume 
3M Company, MMM,158.15, -1.06(-0.67%),161.35,159.21, 156.47-162.09, 114.04-187.72,18.56,6402159
Abbott Laboratories, ABT,90.68, +0.40(+0.44%),91.67,90.28, 90.61-92.40, 61.61-100.00,45.54,9451061
AbbVie Inc., ABBV,96.71, +0.48(+0.50%),97.72,96.23, 95.75-98.20, 62.55-99.35,17.12,9153887
Abiomed  Inc., ABMD,257.09, +3.73(+1.47%),254.22,253.36, 250.92-260.45, 119.01-285.77,58.03,766469
Accenture plc, ACN,201.55, -1.38(-0.68%),207.54,202.93, 201.52-208.29, 137.15-216.39,26.29,3709672
Activision Blizzard  Inc., ATVI,76.58, +0.57(+0.75%),76.18,76.01, 75.09-76.75, 44.81-76.75,37.89,10385245
Adobe Inc., ADBE,428.01, +7.55(+1.80%),423.76,420.46, 419.65-429.25, 255.13-429.27,56.48,3931569
Advanced Micro Devices  Inc., AMD,54.23, +0.19(+0.35%),54.41,54.04, 53.81-55.46, 27.43-59.27,127.3,52801461
Advance Auto Parts  Inc., AAP,144.9, -2.81(-1.90%),150.47,147.71, 144.78-150.57, 71.33-171.43,26.34,981498
The AES Corporation, AES,13.34, -0.10(-0.74%),13.71,13.44, 13.31-13.91, 8.11-21.23,30.25,11285496
